13,2,15,2,15,6,13,6,中
12,6,16,6,16,11,12,11,妙
12,11,16,11,16,16,12,16,怀
14,16,16,16,16,19,14,19,素
14,20,16,20,16,22,14,22,自
14,22,17,22,17,25,14,25,言
14,25,17,25,17,27,14,27,初
6,2,11,2,11,5,6,5,不
6,6,12,6,12,12,6,12,知
7,13,12,13,12,18,7,18,语
8,18,12,18,12,22,8,22,疾
9,22,12,22,12,27,9,27,速
2,2,6,2,6,6,2,6,则
4,6,5,6,5,10,4,10,有
3,10,6,10,6,16,3,16,窦
4,16,6,16,6,19,4,19,御
3,19,8,19,8,23,3,23,史
5,23,7,23,7,27,5,27,冀
12,1,17,1,17,16,12,16,连笔
14,16,16,16,16,23,14,23,连笔
8,18,12,18,12,27,8,27,连笔
2,10,7,10,7,19,2,19,连笔
3,19,8,19,8,28,3,28,连笔
