15,2,17,2,17,5,15,5,出
14,5,17,5,17,7,14,7,没
14,8,16,8,16,10,14,10,猩
14,10,17,10,17,13,14,13,鼯
14,13,17,13,17,18,14,18,号
15,18,17,18,17,20,15,20,十
15,20,16,20,16,22,15,22,生
15,22,17,22,17,23,15,23,九
15,23,17,23,17,26,15,26,死
15,26,17,26,17,28,15,28,到
15,28,17,28,17,30,15,30,官
12,2,14,2,14,5,12,5,所
12,5,14,5,14,7,12,7,幽
12,8,14,8,14,10,12,10,居
12,10,14,10,14,13,12,13,默
12,13,14,13,14,15,12,15,默
12,15,14,15,14,17,12,17,如
12,17,14,17,14,20,12,20,藏
12,20,14,20,14,22,12,22,逃
12,23,14,23,14,24,12,24,下
12,24,14,24,14,26,12,26,床
12,26,14,26,14,29,12,29,畏
12,29,14,29,14,31,12,31,蛇
9,2,11,2,11,5,9,5,食
9,5,11,5,11,7,9,7,畏
9,7,11,7,11,11,9,11,药
9,11,11,11,11,14,9,14,海
9,15,11,15,11,18,9,18,气
9,18,11,18,11,20,9,20,湿
9,20,11,20,11,23,9,23,蛰
9,24,11,24,11,26,9,26,熏
9,26,11,26,11,28,9,28,腥
9,28,11,28,11,30,9,30,臊
6,2,8,2,8,6,6,6,昨
6,5,8,5,8,8,6,8,者
6,9,8,9,8,10,6,10,州
7,10,8,10,8,13,7,13,前
6,13,8,13,8,15,6,15,搥
7,16,8,16,8,18,7,18,大
6,18,9,18,9,20,6,20,鼓
6,20,9,20,9,23,6,23,嗣
7,23,8,23,8,25,7,25,皇
6,25,9,25,9,27,6,27,继
7,27,8,27,8,30,7,30,圣
3,3,5,3,5,6,3,6,登
3,6,5,6,5,9,3,9,夔
4,10,5,10,5,13,4,13,皋
3,13,6,13,6,16,3,16,赦
4,16,5,16,5,18,4,18,书
4,18,5,18,5,18,4,18,一
4,18,5,18,5,20,4,20,日
3,20,6,20,6,24,3,24,行
4,25,6,25,6,27,4,27,千
4,27,5,27,5,30,4,30,里
14,20,17,20,17,26,14,26,连笔
8,11,11,11,11,18,8,18,连笔
3,13,6,13,6,18,3,18,连笔
3,25,6,25,6,30,3,30,连笔
