18,2,21,2,21,5,18,5,泛
18,6,21,6,21,9,18,9,彩
18,9,20,9,20,12,18,12,舟
18,13,21,13,21,16,18,16,携
18,17,20,17,20,18,18,18,红
18,19,21,19,21,21,18,21,袖
18,22,20,22,20,22,18,22,一
18,23,21,23,21,25,18,25,曲
18,26,21,26,21,29,18,29,新
14,3,17,3,17,9,14,9,声
14,9,17,9,17,12,14,12,按
14,13,17,13,17,15,14,15,伊
14,15,17,15,17,18,14,18,州
14,19,17,19,17,22,14,22,樽
15,22,16,22,16,26,15,26,前
15,26,17,26,17,29,15,29,更
11,2,13,2,13,6,11,6,有
11,6,13,6,13,9,11,9,忘
11,10,14,10,14,13,11,13,机
11,14,13,14,13,16,11,16,友
11,17,13,17,13,20,11,20,波
11,21,13,21,13,23,11,23,上
10,23,13,23,13,26,10,26,鸥
11,27,14,27,14,29,11,29,花
7,2,10,2,10,6,7,6,底
7,6,10,6,10,9,7,9,鸠
7,10,10,10,10,12,7,12,湖
7,13,10,13,10,15,7,15,畔
7,16,10,16,10,18,7,18,柳
4,5,6,5,6,7,4,7,刘
4,8,6,8,6,9,4,9,时
4,10,5,10,5,12,4,12,中
4,12,6,12,6,14,4,14,南
4,14,5,14,5,16,4,16,吕
4,16,6,16,6,17,4,17,四
4,18,6,18,6,20,4,20,块
4,21,6,21,6,22,4,22,玉
10,6,14,6,14,13,10,13,连笔
