14,4,17,4,17,8,14,8,为
15,8,16,8,16,11,15,11,有
14,11,16,11,16,15,14,15,云
14,15,17,15,17,18,14,18,屏
13,19,17,19,17,22,13,22,无
14,22,16,22,16,25,14,25,限
13,25,17,25,17,28,13,28,娇
11,4,14,4,14,8,11,8,凤
11,9,14,9,14,12,11,12,城
11,12,13,12,13,15,11,15,寒
11,15,13,15,13,18,11,18,尽
10,19,13,19,13,21,10,21,怕
11,22,13,22,13,25,11,25,春
10,25,13,25,13,28,10,28,宵
8,4,10,4,10,8,8,8,无
7,8,10,8,10,13,7,13,端
8,13,10,13,10,15,8,15,嫁
8,15,10,15,10,18,8,18,得
8,18,9,18,9,21,8,21,金
7,22,10,22,10,25,7,25,龟
7,26,10,26,10,29,7,29,婿
4,4,6,4,6,8,4,8,辜
5,8,6,8,6,11,5,11,负
5,11,6,11,6,14,5,14,香
5,15,6,15,6,17,5,17,衾
4,18,7,18,7,21,4,21,事
5,21,6,21,6,23,5,23,早
4,23,7,23,7,26,4,26,朝
3,5,4,5,4,7,3,7,李
3,7,4,7,4,9,3,9,商
3,9,4,9,4,11,3,11,隐
3,13,4,13,4,14,3,14,为
3,15,4,15,4,16,3,16,有
13,18,17,18,17,25,13,25,连笔
3,5,4,5,4,11,3,11,连笔
