18,2,19,2,19,4,18,4,石
17,5,19,5,19,7,17,7,鱼
17,7,20,7,20,9,17,9,湖
18,9,19,9,19,11,18,11,似
17,11,20,11,20,14,17,14,洞
18,13,20,13,20,16,18,16,庭
18,16,19,16,19,19,18,19,夏
18,19,20,19,20,21,18,21,水
18,22,20,22,20,23,18,23,欲
18,23,20,23,20,25,18,25,满
18,25,20,25,20,27,18,27,君
18,28,20,28,20,30,18,30,山
15,2,17,2,17,5,15,5,青
15,5,17,5,17,7,15,7,山
15,7,17,7,17,9,15,9,为
15,9,17,9,17,12,15,12,樽
15,12,17,12,17,14,15,14,水
15,14,17,14,17,16,15,16,为
15,16,17,16,17,18,15,18,沼
15,18,17,18,17,21,15,21,酒
15,21,17,21,17,23,15,23,徒
15,23,18,23,18,25,15,25,历
15,25,18,25,18,28,15,28,历
15,28,17,28,17,30,15,30,坐
12,2,15,2,15,5,12,5,洲
13,5,15,5,15,8,13,8,岛
13,8,14,8,14,11,13,11,长
12,11,15,11,15,13,12,13,风
13,13,15,13,15,16,13,16,连
13,16,15,16,15,17,13,17,日
12,17,15,17,15,20,12,20,作
13,19,14,19,14,21,13,21,大
13,21,15,21,15,23,13,23,浪
13,23,14,23,14,25,13,25,不
12,25,15,25,15,27,12,27,能
12,27,15,27,15,30,12,30,废
9,2,12,2,12,5,9,5,人
10,4,11,4,11,7,10,7,运
9,7,12,7,12,10,9,10,酒
10,10,12,10,12,12,10,12,舫
10,12,12,12,12,15,10,15,我
10,15,12,15,12,17,10,17,持
10,17,11,17,11,18,10,18,长
9,19,12,19,12,21,9,21,飘
10,21,12,21,12,23,10,23,坐
10,23,12,23,12,25,10,25,巴
10,25,12,25,12,27,10,27,丘
9,27,12,27,12,29,9,29,酌
7,2,9,2,9,5,7,5,饮
7,5,9,5,9,7,7,7,四
7,7,9,7,9,9,7,9,座
7,9,9,9,9,10,7,10,以
6,11,9,11,9,13,6,13,散
6,13,9,13,9,16,6,16,愁
8,17,9,17,9,18,8,18,元
8,17,9,17,9,19,8,19,结
8,20,9,20,9,21,8,21,石
8,21,9,21,9,22,8,22,鱼
8,22,9,22,9,23,8,23,湖
8,23,9,23,9,24,8,24,上
8,24,9,24,9,25,8,25,醉
8,25,9,25,9,27,8,27,歌
17,11,20,11,20,16,17,16,连笔
18,16,20,16,20,21,18,21,连笔
18,22,20,22,20,26,18,26,连笔
15,7,17,7,17,12,15,12,连笔
12,8,15,8,15,13,12,13,连笔
13,13,15,13,15,17,13,17,连笔
13,19,15,19,15,23,13,23,连笔
