17,2,19,2,19,7,17,7,慈
17,7,20,7,20,10,17,10,母
17,10,19,10,19,13,17,13,手
17,13,19,13,19,17,17,17,中
17,17,20,17,20,20,17,20,线
17,21,19,21,19,24,17,24,游
18,24,19,24,19,26,18,26,子
17,26,19,26,19,29,17,29,身
14,2,16,2,16,5,14,5,上
14,5,16,5,16,8,14,8,衣
14,8,16,8,16,11,14,11,临
14,11,16,11,16,15,14,15,行
14,15,16,15,16,18,14,18,密
14,18,17,18,17,22,14,22,密
14,23,17,23,17,26,14,26,缝
14,26,16,26,16,29,14,29,意
11,3,13,3,13,5,11,5,恐
11,5,13,5,13,9,11,9,迟
11,10,13,10,13,13,11,13,迟
11,14,13,14,13,17,11,17,归
11,17,13,17,13,20,11,20,谁
11,20,13,20,13,23,11,23,言
11,23,13,23,13,25,11,25,寸
11,25,13,25,13,29,11,29,草
8,3,11,3,11,4,8,4,心
7,5,11,5,11,8,7,8,报
8,9,10,9,10,11,8,11,得
8,11,10,11,10,13,8,13,三
8,14,10,14,10,18,8,18,春
8,19,11,19,11,24,8,24,晖
6,4,7,4,7,6,6,6,游
6,6,7,6,7,8,6,8,子
6,9,7,9,7,11,6,11,吟
6,11,7,11,7,12,6,12,孟
6,12,7,12,7,14,6,14,郊
16,2,20,2,20,10,16,10,连笔
17,10,20,10,20,17,17,17,连笔
17,21,19,21,19,26,17,26,连笔
14,2,16,2,16,8,14,8,连笔
11,17,13,17,13,23,11,23,连笔
7,8,11,8,11,24,7,24,连笔
