150,27,173,27,173,63,150,63,锦
153,65,171,65,171,90,153,90,瑟
150,92,171,92,171,119,150,119,无
151,120,172,120,172,144,151,144,端
156,146,169,146,169,164,156,164,五
154,166,168,166,168,179,154,179,十
152,180,171,180,171,201,152,201,弦
155,205,166,205,166,210,155,210,一
150,213,170,213,170,231,150,231,弦
155,233,165,233,165,240,155,240,一
147,244,168,244,168,264,147,264,柱
153,268,167,268,167,287,153,287,思
124,28,145,28,145,68,124,68,华
130,70,143,70,143,90,130,90,年
125,92,143,92,143,121,125,121,庄
131,122,143,122,143,138,131,138,生
124,92,144,92,144,139,124,139,连笔
126,142,145,142,145,163,126,163,晓
129,164,140,164,140,192,129,192,梦
126,197,139,197,139,217,126,217,迷
121,221,143,221,143,238,121,238,蝴
123,240,141,240,141,259,123,259,蝶
124,261,142,261,142,284,124,284,望
104,27,121,27,121,70,104,70,帝
104,76,120,76,120,98,104,98,春
105,101,121,101,121,109,105,109,心
100,112,122,112,122,133,100,133,托
101,137,118,137,118,152,101,152,杜
101,154,122,154,122,181,101,181,鹃
101,184,118,184,118,204,101,204,沧
98,209,117,209,117,231,98,231,海
104,233,113,233,113,254,104,254,月
99,257,115,257,115,272,99,272,明
95,274,118,274,118,297,95,297,珠
81,30,93,30,93,50,81,50,有
78,53,98,53,98,74,78,74,泪
81,77,95,77,95,107,81,107,蓝
80,110,95,110,95,128,80,128,田
84,131,92,131,92,145,84,145,日
78,147,95,147,95,167,78,167,暖
82,168,94,168,94,182,82,182,玉
80,185,93,185,93,209,80,209,生
74,210,96,210,96,230,74,230,烟
76,234,93,234,93,252,76,252,此
72,253,93,253,93,274,72,274,情
74,276,91,276,91,295,74,295,可
55,29,73,29,73,50,55,50,待
57,51,73,51,73,79,57,79,成
56,82,71,82,71,105,56,105,追
51,107,74,107,74,129,51,129,忆
53,133,73,133,73,149,53,149,只
56,150,69,150,69,168,56,168,是
55,170,71,170,71,193,55,193,当
52,196,70,196,70,213,52,213,时
57,215,68,215,68,227,57,227,已
51,195,71,195,71,228,51,228,连笔
49,228,72,228,72,249,49,249,罔
53,252,70,252,70,276,53,276,然
41,54,49,54,49,70,41,70,李
40,72,50,72,50,87,40,87,商
38,89,50,89,50,103,38,103,隐
37,120,52,120,52,140,37,140,锦
38,141,50,141,50,157,38,157,瑟
