24,3,28,3,28,5,24,5,不
24,5,29,5,29,9,24,9,如
24,9,29,9,29,16,24,16,老
25,16,29,16,29,23,25,23,学
25,23,30,23,30,27,25,27,不
25,27,30,27,30,30,25,30,如
25,31,30,31,30,36,25,36,老
25,36,30,36,30,42,25,42,学
26,42,30,42,30,46,26,46,成
19,1,23,1,23,6,19,6,规
20,7,24,7,24,10,20,10,矩
20,11,23,11,23,16,20,16,老
20,17,23,17,23,20,20,20,不
20,20,24,20,24,23,20,23,如
21,24,24,24,24,29,21,29,少
21,30,24,30,24,34,21,34,思
21,34,24,34,24,38,21,38,则
21,38,25,38,25,43,21,43,老
20,34,25,34,25,43,20,43,连笔
21,43,25,43,25,47,21,47,而
15,1,19,1,19,7,15,7,愈
14,8,19,8,19,14,14,14,妙
15,14,19,14,19,21,15,21,学
15,21,19,21,19,26,15,26,乃
14,14,20,14,20,26,14,26,连笔
15,27,19,27,19,33,15,33,少
15,34,19,34,19,37,15,37,而
15,38,18,38,18,42,15,42,可
15,42,20,42,20,48,15,48,勉
11,4,14,4,14,8,11,8,之
10,9,14,9,14,13,10,13,不
11,14,13,14,13,17,11,17,已
10,19,14,19,14,23,10,23,抑
11,24,13,24,13,29,11,29,有
10,29,13,29,13,33,10,33,三
10,34,14,34,14,38,10,38,时
10,41,14,41,14,44,10,44,然
10,45,15,45,15,47,10,47,一
6,1,10,1,10,7,6,7,变
6,8,10,8,10,12,6,12,极
6,14,9,14,9,19,6,19,其
6,19,9,19,9,23,6,23,分
6,24,9,24,9,29,6,29,矣
6,30,9,30,9,34,6,34,至
5,35,9,35,9,39,5,39,如
6,39,10,39,10,42,6,42,初
6,43,9,43,9,47,6,47,学
2,1,5,1,5,5,2,5,分
1,6,5,6,5,15,1,15,布
1,15,5,15,5,18,1,18,但
1,19,6,19,6,24,1,24,求
2,24,5,24,5,29,2,29,平
2,29,5,29,5,33,2,33,正
2,33,5,33,5,37,2,37,既
2,38,5,38,5,42,2,42,知
3,42,5,42,5,45,3,45,平
3,46,6,46,6,48,3,48,正
3,42,6,42,6,48,3,48,连笔
